Zkm SZA   ndCO2m3   ndN2m3    ndOm3     ndCOm3    ndHem3    ndNm3     ndHm3     rhokgm3   pNm2       TK     MMWT
240  15  5.23E+09  1.28E+11  1.92E+13  2.26E+11  1.26E+12  4.26E+11  5.78E+10  5.44E-13  8.321E-08  283.6  15.416
245  15  2.43E+09  7.85E+10  1.45E+13  1.39E+11  1.17E+12  3.34E+11  5.68E+10  4.11E-13  6.374E-08  283.7  15.209
250  15  1.13E+09  4.83E+10  1.10E+13  8.55E+10  1.09E+12  2.62E+11  5.58E+10  3.12E-13  4.913E-08  283.7  14.979
150  34  6.28E+15  1.00E+15  3.49E+15  1.74E+15  4.64E+12  3.77E+13  1.12E+11  6.80E-10  4.340E-05  250.4  32.617
155  34  2.51E+15  5.52E+14  2.43E+15  9.57E+14  4.17E+12  2.74E+13  1.06E+11  3.19E-10  2.344E-05  261.8  29.622
160  34  1.05E+15  3.14E+14  1.74E+15  5.45E+14  3.80E+12  2.03E+13  1.01E+11  1.64E-10  1.373E-05  269.8  26.786
165  34  4.56E+14  1.83E+14  1.26E+15  3.17E+14  3.48E+12  1.54E+13  9.80E+10  9.05E-11  8.508E-06  275.5  24.364
170  34  2.02E+14  1.08E+14  9.31E+14  1.88E+14  3.21E+12  1.17E+13  9.52E+10  5.35E-11  5.567E-06  279.5  22.333
175  34  9.06E+13  6.48E+13  6.92E+14  1.12E+14  2.97E+12  9.03E+12  9.28E+10  3.35E-11  3.793E-06  282.4  20.738
180  34  4.11E+13  3.91E+13  5.17E+14  6.79E+13  2.75E+12  6.99E+12  9.07E+10  2.19E-11  2.651E-06  284.4  19.536
185  34  1.88E+13  2.38E+13  3.88E+14  4.12E+13  2.56E+12  5.43E+12  8.88E+10  1.48E-11  1.888E-06  285.9  18.633
190  34  8.68E+12  1.45E+13  2.92E+14  2.51E+13  2.38E+12  4.23E+12  8.70E+10  1.03E-11  1.368E-06  286.9  17.960
195  34  4.02E+12  8.86E+12  2.20E+14  1.54E+13  2.22E+12  3.31E+12  8.53E+10  7.36E-12  1.008E-06  287.6  17.454
200  34  1.87E+12  5.44E+12  1.66E+14  9.43E+12  2.06E+12  2.59E+12  8.37E+10  5.32E-12  7.468E-07  288.1  17.065
205  34  8.69E+11  3.34E+12  1.26E+14  5.80E+12  1.92E+12  2.03E+12  8.22E+10  3.89E-12  5.569E-07  288.5  16.755
210  34  4.06E+11  2.06E+12  9.54E+13  3.57E+12  1.80E+12  1.59E+12  8.08E+10  2.88E-12  4.189E-07  288.7  16.505
215  34  1.90E+11  1.27E+12  7.24E+13  2.20E+12  1.67E+12  1.25E+12  7.93E+10  2.14E-12  3.155E-07  288.9  16.294
220  34  8.90E+10  7.83E+11  5.49E+13  1.36E+12  1.56E+12  9.81E+11  7.80E+10  1.60E-12  2.387E-07  289.0  16.106
225  34  4.18E+10  4.84E+11  4.17E+13  8.40E+11  1.46E+12  7.71E+11  7.66E+10  1.20E-12  1.811E-07  289.1  15.931
230  34  1.97E+10  3.00E+11  3.17E+13  5.20E+11  1.36E+12  6.06E+11  7.53E+10  9.05E-13  1.381E-07  289.2  15.761
235  34  9.25E+09  1.85E+11  2.41E+13  3.22E+11  1.27E+12  4.77E+11  7.40E+10  6.84E-13  1.055E-07  289.2  15.585
240  34  4.36E+09  1.15E+11  1.83E+13  1.99E+11  1.19E+12  3.76E+11  7.28E+10  5.19E-13  8.108E-08  289.3  15.396
245  34  2.06E+09  7.13E+10  1.40E+13  1.24E+11  1.11E+12  2.96E+11  7.15E+10  3.94E-13  6.236E-08  289.3  15.197
250  34  9.74E+08  4.43E+10  1.06E+13  7.68E+10  1.04E+12  2.33E+11  7.03E+10  3.00E-13  4.823E-08  289.3  14.962
150  61  5.23E+15  8.34E+14  2.78E+15  1.15E+15  3.99E+12  3.03E+13  3.17E+11  5.48E-10  3.465E-05  250.7  32.965
155  61  2.09E+15  4.57E+14  1.93E+15  6.30E+14  3.58E+12  2.19E+13  3.00E+11  2.55E-10  1.862E-05  262.8  29.925
160  61  8.79E+14  2.60E+14  1.38E+15  3.59E+14  3.26E+12  1.63E+13  2.88E+11  1.30E-10  1.085E-05  271.3  27.030
165  61  3.82E+14  1.52E+14  1.01E+15  2.09E+14  2.98E+12  1.23E+13  2.78E+11  7.17E-11  6.761E-06  277.4  24.461
170  61  1.70E+14  9.02E+13  7.41E+14  1.24E+14  2.75E+12  9.41E+12  2.70E+11  4.23E-11  4.424E-06  281.7  22.394
175  61  7.67E+13  5.42E+13  5.52E+14  7.47E+13  2.55E+12  7.26E+12  2.63E+11  2.64E-11  3.012E-06  284.7  20.749
180  61  3.50E+13  3.28E+13  4.13E+14  4.52E+13  2.36E+12  5.63E+12  2.57E+11  1.73E-11  2.115E-06  286.8  19.505
185  61  1.61E+13  2.00E+13  3.11E+14  2.76E+13  2.20E+12  4.38E+12  2.51E+11  1.18E-11  1.523E-06  288.4  18.577
190  61  7.49E+12  1.23E+13  2.34E+14  1.69E+13  2.04E+12  3.42E+12  2.46E+11  8.22E-12  1.105E-06  289.4  17.900
195  61  3.49E+12  7.53E+12  1.77E+14  1.04E+13  1.90E+12  2.68E+12  2.42E+11  5.87E-12  8.148E-07  290.2  17.383
200  61  1.63E+12  4.64E+12  1.34E+14  6.39E+12  1.77E+12  2.10E+12  2.37E+11  4.26E-12  6.061E-07  290.7  16.988
205  61  7.65E+11  2.87E+12  1.02E+14  3.95E+12  1.66E+12  1.65E+12  2.33E+11  3.13E-12  4.543E-07  291.1  16.677
210  61  3.60E+11  1.77E+12  7.73E+13  2.44E+12  1.55E+12  1.30E+12  2.29E+11  2.32E-12  3.423E-07  291.4  16.423
215  61  1.69E+11  1.10E+12  5.88E+13  1.51E+12  1.44E+12  1.02E+12  2.25E+11  1.73E-12  2.588E-07  291.6  16.208
220  61  8.00E+10  6.81E+11  4.47E+13  9.38E+11  1.35E+12  8.03E+11  2.21E+11  1.30E-12  1.969E-07  291.7  16.011
225  61  3.78E+10  4.23E+11  3.41E+13  5.82E+11  1.26E+12  6.33E+11  2.17E+11  9.78E-13  1.499E-07  291.8  15.825
230  61  1.79E+10  2.63E+11  2.60E+13  3.62E+11  1.18E+12  4.99E+11  2.13E+11  7.40E-13  1.149E-07  291.9  15.637
235  61  8.49E+09  1.63E+11  1.98E+13  2.25E+11  1.10E+12  3.93E+11  2.10E+11  5.61E-13  8.818E-08  291.9  15.441
240  61  4.03E+09  1.02E+11  1.51E+13  1.40E+11  1.03E+12  3.10E+11  2.06E+11  4.27E-13  6.808E-08  292.0  15.227
245  61  1.92E+09  6.33E+10  1.15E+13  8.72E+10  9.59E+11  2.45E+11  2.03E+11  3.25E-13  5.264E-08  292.0  14.991
250  61  9.12E+08  3.95E+10  8.79E+12  5.44E+10  8.96E+11  1.93E+11  1.99E+11  2.49E-13  4.105E-08  292.0  14.725
150  90  1.04E+15  2.42E+14  1.44E+15  3.19E+14  1.96E+13  1.23E+13  1.81E+12  1.41E-10  8.569E-06  201.5  27.567
155  90  3.37E+14  1.16E+14  9.32E+14  1.53E+14  1.73E+13  8.39E+12  1.72E+12  6.22E-11  4.534E-06  209.8  23.930
160  90  1.15E+14  5.81E+13  6.19E+14  7.65E+13  1.55E+13  5.85E+12  1.64E+12  3.14E-11  2.660E-06  215.7  21.174
165  90  4.06E+13  2.97E+13  4.19E+14  3.92E+13  1.40E+13  4.14E+12  1.58E+12  1.75E-11  1.665E-06  219.9  19.217
170  90  1.47E+13  1.55E+13  2.87E+14  2.04E+13  1.26E+13  2.97E+12  1.53E+12  1.05E-11  1.089E-06  222.8  17.867
175  90  5.39E+12  8.17E+12  1.98E+14  1.08E+13  1.15E+13  2.15E+12  1.49E+12  6.67E-12  7.380E-07  224.9  16.901
180  90  2.01E+12  4.34E+12  1.38E+14  5.72E+12  1.05E+13  1.56E+12  1.45E+12  4.38E-12  5.102E-07  226.4  16.160
185  90  7.53E+11  2.32E+12  9.62E+13  3.06E+12  9.55E+12  1.14E+12  1.41E+12  2.95E-12  3.590E-07  227.5  15.542
190  90  2.85E+11  1.25E+12  6.74E+13  1.65E+12  8.72E+12  8.34E+11  1.37E+12  2.02E-12  2.560E-07  228.2  14.969
195  90  1.08E+11  6.75E+11  4.73E+13  8.88E+11  7.98E+12  6.12E+11  1.34E+12  1.41E-12  1.864E-07  228.7  14.382
200  90  4.13E+10  3.65E+11  3.33E+13  4.81E+11  7.30E+12  4.50E+11  1.31E+12  9.88E-13  1.368E-07  229.1  13.761
205  90  1.58E+10  1.98E+11  2.35E+13  2.61E+11  6.69E+12  3.31E+11  1.28E+12  7.00E-13  1.021E-07  229.4  13.082
210  90  6.06E+09  1.08E+11  1.66E+13  1.42E+11  6.13E+12  2.44E+11  1.25E+12  5.00E-13  7.736E-08  229.6  12.339
215  90  2.33E+09  5.86E+10  1.17E+13  7.72E+10  5.62E+12  1.80E+11  1.23E+12  3.61E-13  5.985E-08  229.7  11.519
220  90  9.00E+08  3.20E+10  8.27E+12  4.21E+10  5.15E+12  1.33E+11  1.20E+12  2.62E-13  4.695E-08  229.8  10.663
225  90  3.48E+08  1.75E+10  5.85E+12  2.30E+10  4.72E+12  9.82E+10  1.17E+12  1.93E-13  3.772E-08  229.9  9.781
230  90  1.35E+08  9.54E+09  4.14E+12  1.26E+10  4.33E+12  7.26E+10  1.15E+12  1.43E-13  3.075E-08  229.9  8.890
235  90  5.22E+07  5.22E+09  2.94E+12  6.88E+09  3.97E+12  5.37E+10  1.12E+12  1.08E-13  2.566E-08  229.9  8.047
240  90  2.03E+07  2.86E+09  2.08E+12  3.77E+09  3.65E+12  3.97E+10  1.10E+12  8.26E-14  2.184E-08  230.0  7.233
245  90  7.89E+06  1.57E+09  1.48E+12  2.07E+09  3.35E+12  2.94E+10  1.08E+12  6.41E-14  1.883E-08  230.0  6.509
250  90  3.07E+06  8.61E+08  1.05E+12  1.13E+09  3.07E+12  2.18E+10  1.05E+12  5.06E-14  1.648E-08  230.0  5.873
150 119  7.21E+13  1.37E+14  1.07E+15  1.31E+14  1.18E+14  6.97E+12  5.93E+13  4.73E-11  3.055E-06  138.5  17.829
155 119  1.44E+13  4.89E+13  5.95E+14  4.69E+13  1.02E+14  4.16E+12  5.69E+13  2.22E-11  1.670E-06  139.2  15.387
160 119  2.89E+12  1.76E+13  3.31E+14  1.69E+13  8.80E+13  2.49E+12  5.47E+13  1.13E-11  9.875E-07  139.8  13.301
165 119  5.87E+11  6.38E+12  1.85E+14  6.13E+12  7.60E+13  1.50E+12  5.27E+13  6.17E-12  6.352E-07  140.1  11.314
170 119  1.20E+11  2.32E+12  1.04E+14  2.23E+12  6.58E+13  9.03E+11  5.07E+13  3.52E-12  4.374E-07  140.4  9.394
175 119  2.47E+10  8.49E+11  5.84E+13  8.15E+11  5.69E+13  5.45E+11  4.89E+13  2.10E-12  3.226E-07  140.6  7.611
180 119  5.10E+09  3.11E+11  3.29E+13  2.98E+11  4.93E+13  3.30E+11  4.72E+13  1.32E-12  2.538E-07  140.7  6.085
185 119  1.06E+09  1.14E+11  1.86E+13  1.10E+11  4.27E+13  2.00E+11  4.55E+13  8.67E-13  2.079E-07  140.8  4.882
190 119  2.20E+08  4.21E+10  1.05E+13  4.04E+10  3.70E+13  1.21E+11  4.39E+13  6.04E-13  1.778E-07  140.8  3.977
195 119  4.60E+07  1.55E+10  5.93E+12  1.49E+10  3.21E+13  7.37E+10  4.23E+13  4.44E-13  1.562E-07  140.9  3.331
200 119  9.64E+06  5.74E+09  3.36E+12  5.51E+09  2.78E+13  4.48E+10  4.08E+13  3.44E-13  1.401E-07  140.9  2.876
205 119  2.02E+06  2.13E+09  1.90E+12  2.04E+09  2.42E+13  2.73E+10  3.94E+13  2.77E-13  1.270E-07  140.9  2.556
210 119  4.27E+05  7.90E+08  1.08E+12  7.58E+08  2.10E+13  1.66E+10  3.80E+13  2.32E-13  1.168E-07  141.0  2.328
215 119  9.01E+04  2.94E+08  6.14E+11  2.82E+08  1.82E+13  1.01E+10  3.67E+13  1.98E-13  1.076E-07  141.0  2.158
220 119  1.91E+04  1.09E+08  3.49E+11  1.05E+08  1.58E+13  6.18E+09  3.54E+13  1.73E-13  9.993E-08  141.0  2.029
225 119  4.05E+03  4.08E+07  1.99E+11  3.91E+07  1.37E+13  3.77E+09  3.42E+13  1.53E-13  9.320E-08  141.0  1.925
230 119  8.62E+02  1.52E+07  1.13E+11  1.46E+07  1.19E+13  2.31E+09  3.30E+13  1.37E-13  8.735E-08  141.0  1.839
235 119  1.84E+02  5.70E+06  6.46E+10  5.47E+06  1.04E+13  1.41E+09  3.19E+13  1.24E-13  8.226E-08  141.0  1.767
240 119  3.94E+01  2.14E+06  3.68E+10  2.05E+06  9.01E+12  8.64E+08  3.08E+13  1.12E-13  7.723E-08  141.0  1.700
245 119  8.44E+00  8.02E+05  2.10E+10  7.70E+05  7.83E+12  5.29E+08  2.97E+13  1.02E-13  7.282E-08  141.0  1.642
250 119  1.81E+00  3.02E+05  1.20E+10  2.89E+05  6.81E+12  3.24E+08  2.87E+13  9.32E-14  6.879E-08  141.0  1.588
150 146  5.28E+13  1.53E+14  1.14E+15  9.97E+13  6.99E+13  7.05E+12  3.76E+13  4.65E-11  2.655E-06  123.5  17.983
155 146  8.65E+12  4.83E+13  5.90E+14  3.15E+13  5.93E+13  3.96E+12  3.61E+13  2.06E-11  1.329E-06  123.5  15.922
160 146  1.42E+12  1.53E+13  3.06E+14  9.98E+12  5.04E+13  2.23E+12  3.47E+13  9.84E-12  7.152E-07  123.5  14.128
165 146  2.34E+11  4.85E+12  1.59E+14  3.17E+12  4.27E+13  1.26E+12  3.33E+13  4.97E-12  4.158E-07  123.5  12.273
170 146  3.86E+10  1.54E+12  8.24E+13  1.01E+12  3.63E+13  7.08E+11  3.19E+13  2.62E-12  2.622E-07  123.5  10.259
175 146  6.39E+09  4.91E+11  4.29E+13  3.21E+11  3.08E+13  4.00E+11  3.07E+13  1.44E-12  1.797E-07  123.5  8.230
180 146  1.06E+09  1.57E+11  2.23E+13  1.02E+11  2.62E+13  2.26E+11  2.94E+13  8.33E-13  1.336E-07  123.5  6.401
185 146  1.77E+08  5.01E+10  1.16E+13  3.27E+10  2.22E+13  1.28E+11  2.83E+13  5.10E-13  1.063E-07  123.5  4.929
190 146  2.96E+07  1.60E+10  6.07E+12  1.05E+10  1.89E+13  7.22E+10  2.71E+13  3.35E-13  8.891E-08  123.5  3.869
195 146  4.95E+06  5.14E+09  3.17E+12  3.36E+09  1.61E+13  4.09E+10  2.61E+13  2.35E-13  7.702E-08  123.5  3.133
200 146  8.32E+05  1.65E+09  1.66E+12  1.08E+09  1.37E+13  2.32E+10  2.50E+13  1.77E-13  6.859E-08  123.5  2.650
205 146  1.40E+05  5.32E+08  8.67E+11  3.48E+08  1.16E+13  1.32E+10  2.40E+13  1.40E-13  6.190E-08  123.5  2.322
210 146  2.37E+04  1.72E+08  4.54E+11  1.12E+08  9.88E+12  7.47E+09  2.31E+13  1.16E-13  5.672E-08  123.5  2.100
215 146  4.01E+03  5.55E+07  2.38E+11  3.62E+07  8.41E+12  4.25E+09  2.22E+13  9.91E-14  5.238E-08  123.5  1.943
220 146  6.82E+02  1.80E+07  1.25E+11  1.17E+07  7.16E+12  2.42E+09  2.13E+13  8.63E-14  4.854E-08  123.5  1.826
225 146  1.16E+02  5.83E+06  6.57E+10  3.80E+06  6.10E+12  1.38E+09  2.04E+13  7.62E-14  4.512E-08  123.5  1.734
230 146  1.99E+01  1.89E+06  3.45E+10  1.24E+06  5.19E+12  7.85E+08  1.96E+13  6.80E-14  4.216E-08  123.5  1.656
235 146  3.40E+00  6.16E+05  1.82E+10  4.02E+05  4.42E+12  4.48E+08  1.89E+13  6.12E-14  3.957E-08  123.5  1.588
240 146  5.85E-01  2.01E+05  9.59E+09  1.31E+05  3.77E+12  2.56E+08  1.81E+13  5.54E-14  3.713E-08  123.5  1.532
245 146  1.01E-01  6.56E+04  5.06E+09  4.28E+04  3.21E+12  1.46E+08  1.74E+13  5.04E-14  3.498E-08  123.5  1.479
250 146  1.74E-02  2.15E+04  2.67E+09  1.40E+04  2.74E+12  8.36E+07  1.67E+13  4.60E-14  3.295E-08  123.5  1.433
150 165  7.10E+13  5.91E+13  8.51E+14  7.24E+13  1.89E+13  5.80E+12  1.64E+13  3.42E-11  1.925E-06  127.4  18.815
155 165  1.23E+13  1.94E+13  4.50E+14  2.37E+13  1.61E+13  3.32E+12  1.58E+13  1.51E-11  9.529E-07  127.4  16.786
160 165  2.13E+12  6.35E+12  2.38E+14  7.78E+12  1.37E+13  1.90E+12  1.51E+13  7.29E-12  5.008E-07  127.4  15.420
165 165  3.71E+11  2.09E+12  1.26E+14  2.56E+12  1.17E+13  1.09E+12  1.45E+13  3.72E-12  2.786E-07  127.4  14.144
170 165  6.48E+10  6.87E+11  6.68E+13  8.42E+11  9.99E+12  6.26E+11  1.40E+13  1.95E-12  1.632E-07  127.4  12.658
175 165  1.13E+10  2.27E+11  3.54E+13  2.78E+11  8.53E+12  3.59E+11  1.34E+13  1.05E-12  1.022E-07  127.4  10.888
180 165  1.99E+09  7.49E+10  1.88E+13  9.18E+10  7.28E+12  2.07E+11  1.29E+13  5.82E-13  6.920E-08  127.4  8.909
185 165  3.50E+08  2.48E+10  1.00E+13  3.04E+10  6.21E+12  1.19E+11  1.24E+13  3.33E-13  5.062E-08  127.4  6.969
190 165  6.18E+07  8.22E+09  5.33E+12  1.01E+10  5.31E+12  6.84E+10  1.19E+13  1.99E-13  3.974E-08  127.4  5.304
195 165  1.09E+07  2.73E+09  2.84E+12  3.35E+09  4.53E+12  3.94E+10  1.15E+13  1.26E-13  3.326E-08  127.4  4.012
200 165  1.94E+06  9.09E+08  1.51E+12  1.11E+09  3.88E+12  2.28E+10  1.10E+13  8.49E-14  2.885E-08  127.4  3.117
205 165  3.46E+05  3.03E+08  8.08E+11  3.71E+08  3.31E+12  1.31E+10  1.06E+13  6.14E-14  2.584E-08  127.4  2.517
210 165  6.17E+04  1.01E+08  4.32E+11  1.24E+08  2.83E+12  7.59E+09  1.02E+13  4.74E-14  2.361E-08  127.4  2.127
215 165  1.10E+04  3.39E+07  2.31E+11  4.15E+07  2.42E+12  4.39E+09  9.81E+12  3.86E-14  2.183E-08  127.4  1.873
220 165  1.98E+03  1.13E+07  1.24E+11  1.39E+07  2.07E+12  2.54E+09  9.43E+12  3.28E-14  2.038E-08  127.4  1.705
225 165  3.56E+02  3.81E+06  6.62E+10  4.67E+06  1.77E+12  1.47E+09  9.07E+12  2.86E-14  1.908E-08  127.4  1.588
230 165  6.43E+01  1.28E+06  3.55E+10  1.57E+06  1.52E+12  8.54E+08  8.73E+12  2.55E-14  1.795E-08  127.4  1.505
235 165  1.16E+01  4.32E+05  1.91E+10  5.29E+05  1.30E+12  4.96E+08  8.40E+12  2.31E-14  1.699E-08  127.4  1.440
240 165  2.11E+00  1.46E+05  1.03E+10  1.79E+05  1.11E+12  2.88E+08  8.08E+12  2.11E-14  1.610E-08  127.4  1.388
245 165  3.48E-01  4.92E+04  5.52E+09  6.04E+04  9.52E+11  1.67E+08  7.77E+12  1.94E-14  1.527E-08  127.4  1.346
250 165  7.00E-02  1.67E+04  2.97E+09  2.04E+04  8.16E+11  9.75E+07  7.47E+12  1.79E-14  1.448E-08  127.4  1.310
