 Zkm Lat   rhokgm3      pNm2     TK     Zeta    RJkgK
  20  45  2.039E+01  2.252E+06  580.7   .9934  191.40
  21  45  1.911E+01  2.079E+06  572.4   .9933  191.40
  22  45  1.788E+01  1.917E+06  564.3   .9931  191.40
  23  45  1.671E+01  1.766E+06  556.0   .9930  191.40
  24  45  1.562E+01  1.625E+06  547.5   .9929  191.40
  25  45  1.457E+01  1.493E+06  539.2   .9929  191.40
  26  45  1.359E+01  1.370E+06  530.7   .9928  191.40
  27  45  1.265E+01  1.256E+06  522.3   .9929  191.40
  28  45  1.177E+01  1.149E+06  513.8   .9929  191.40
  29  45  1.093E+01  1.050E+06  505.6   .9929  191.40
  30  45  1.015E+01  9.581E+05  496.9   .9930  191.40
  31  45  9.406E+00  8.729E+05  488.3   .9931  191.40
  32  45  8.704E+00  7.940E+05  479.9   .9932  191.40
  33  45  8.041E+00  7.211E+05  471.7   .9933  191.40
  34  45  7.420E+00  6.537E+05  463.4   .9934  191.40
  35  45  6.838E+00  5.916E+05  455.0   .9936  191.40
  36  45  6.291E+00  5.345E+05  446.8   .9937  191.40
  37  45  5.777E+00  4.820E+05  438.6   .9939  191.40
  38  45  5.292E+00  4.338E+05  430.8   .9941  191.40
  39  45  4.835E+00  3.897E+05  423.3   .9943  191.40
  40  45  4.418E+00  3.495E+05  415.5   .9945  191.40
  41  45  4.024E+00  3.127E+05  408.1   .9948  191.40
  42  45  3.652E+00  2.793E+05  401.6   .9950  191.40
  43  45  3.310E+00  2.491E+05  395.0   .9953  191.40
  44  45  2.996E+00  2.216E+05  388.3   .9955  191.40
  45  45  2.704E+00  1.968E+05  381.8   .9958  191.40
  46  45  2.434E+00  1.745E+05  376.1   .9961  191.40
  47  45  2.187E+00  1.544E+05  370.2   .9963  191.40
  48  45  1.961E+00  1.364E+05  364.6   .9966  191.40
  49  45  1.758E+00  1.199E+05  357.5   .9967  191.40
  50  45  1.584E+00  1.057E+05  349.7   .9969  191.40
  51  45  1.422E+00  9.258E+04  341.1   .9970  191.40
  52  45  1.274E+00  8.087E+04  332.5   .9972  191.40
  53  45  1.146E+00  7.042E+04  321.9   .9973  191.40
  54  45  1.022E+00  6.095E+04  312.3   .9974  191.40
  55  45  9.132E-01  5.255E+04  301.4   .9974  191.40
  56  45  8.132E-01  4.505E+04  290.2   .9975  191.40
  57  45  7.224E-01  3.839E+04  278.3   .9976  191.40
  58  45  6.363E-01  3.249E+04  267.4   .9977  191.40
  59  45  5.531E-01  2.733E+04  258.7   .9978  191.40
  60  45  4.729E-01  2.289E+04  253.3   .9980  191.40
  62  45  3.381E-01  1.591E+04  246.2   .9985  191.40
  64  45  2.381E-01  1.096E+04  240.7   .9989  191.40
  66  45  1.660E-01  7.489E+03  235.8   .9992  191.40
  68  45  1.146E-01  5.082E+03  231.9   .9994  191.40
  70  45  7.852E-02  3.428E+03  228.2   .9996  191.40
  72  45  5.348E-02  2.298E+03  224.6   .9997  191.40
  74  45  3.621E-02  1.531E+03  221.0   .9998  191.40
  76  45  2.447E-02  1.012E+03  216.2   .9998  191.40
  78  45  1.645E-02  6.625E+02  210.4  1.0000  191.40
  80  45  1.104E-02  4.278E+02  202.5  1.0000  191.40
  82  45  7.264E-03  2.718E+02  195.5  1.0000  191.40
  84  45  4.707E-03  1.699E+02  188.6  1.0000  191.42
  86  45  3.001E-03  1.044E+02  181.8  1.0000  191.46
  88  45  1.868E-03  6.317E+01  176.6  1.0000  191.53
  90  45  1.143E-03  3.772E+01  172.3  1.0000  191.57
  92  45  6.837E-04  2.233E+01  170.4  1.0000  191.66
  94  45  4.051E-04  1.317E+01  169.5  1.0000  191.80
  96  45  2.381E-04  7.768E+00  170.0  1.0000  191.93
  98  45  1.400E-04  4.595E+00  170.9  1.0000  192.06
 100  45  8.240E-05  2.729E+00  172.2  1.0000  192.24
   0  60  6.479E+01  9.210E+06  735.3  1.0097  191.40
   1  60  6.156E+01  8.645E+06  727.7  1.0080  191.40
   2  60  5.845E+01  8.109E+06  720.2  1.0065  191.40
   3  60  5.547E+01  7.601E+06  712.4  1.0050  191.40
   4  60  5.262E+01  7.120E+06  704.6  1.0036  191.40
   5  60  4.987E+01  6.665E+06  696.8  1.0024  191.40
   6  60  4.724E+01  6.235E+06  688.8  1.0012  191.40
   7  60  4.471E+01  5.828E+06  681.1  1.0001  191.40
   8  60  4.226E+01  5.444E+06  673.6   .9992  191.40
   9  60  3.995E+01  5.081E+06  665.8   .9984  191.40
  10  60  3.772E+01  4.739E+06  658.2   .9976  191.40
  11  60  3.558E+01  4.416E+06  650.6   .9969  191.40
  12  60  3.354E+01  4.112E+06  643.2   .9964  191.40
  13  60  3.160E+01  3.826E+06  635.5   .9958  191.40
  14  60  2.974E+01  3.557E+06  628.1   .9954  191.40
  15  60  2.795E+01  3.304E+06  620.8   .9949  191.40
  16  60  2.627E+01  3.066E+06  613.3   .9946  191.40
  17  60  2.468E+01  2.843E+06  605.2   .9942  191.40
  18  60  2.318E+01  2.633E+06  597.1   .9939  191.40
  19  60  2.174E+01  2.436E+06  589.3   .9937  191.40
  20  60  2.039E+01  2.252E+06  580.7   .9934  191.40
  21  60  1.911E+01  2.079E+06  572.4   .9933  191.40
  22  60  1.788E+01  1.917E+06  564.3   .9931  191.40
  23  60  1.671E+01  1.766E+06  556.0   .9930  191.40
  24  60  1.562E+01  1.625E+06  547.5   .9929  191.40
  25  60  1.457E+01  1.493E+06  539.2   .9929  191.40
  26  60  1.359E+01  1.370E+06  530.7   .9928  191.40
  27  60  1.265E+01  1.256E+06  522.3   .9929  191.40
  28  60  1.177E+01  1.149E+06  513.8   .9929  191.40
  29  60  1.093E+01  1.050E+06  505.6   .9929  191.40
  30  60  1.015E+01  9.581E+05  496.9   .9930  191.40
  31  60  9.406E+00  8.729E+05  488.3   .9931  191.40
  32  60  8.704E+00  7.940E+05  479.9   .9932  191.40
