Time,X,Y,Z,VX,VY,VZ
0,22061377.9400164,-151306813.749398,29375.5859729722,25.657109715123,4.96562566704587,-1.18157725359387
313.728817336,22069427.2743951,-151305255.61311,29004.8910851709,25.6568527347085,4.96738782331327,-1.18157759355229
627.457634672001,22077476.5281365,-151303696.923984,28634.1960913917,25.6565956586309,4.96914997458203,-1.181577929196
941.186452008001,22085525.7012108,-151302137.682021,28263.5009929882,25.6563384868891,4.97091212084968,-1.18157826052491
1254.915269344,22093574.7935878,-151300577.887223,27892.8057913141,25.656081219482,4.97267426211377,-1.18157858753898
2823.559356024,22133819.0439648,-151292770.620758,26039.3282812652,25.6547934474296,4.98148489329466,-1.18158015788427
4392.20344270401,22174061.2724098,-151284949.533647,24185.8483925159,25.6535032835829,4.99029539901731,-1.18158162034854
5960.84752938401,22214301.4751709,-151277114.626087,22332.3662942994,25.6522107278065,4.99910577897402,-1.18158297492366
7529.49161606401,22254539.6484959,-151269265.898275,20478.8821558618,25.6509157799648,5.00791603285698,-1.1815842216015
15372.712049464,22455699.9422379,-151229814.96239,11211.4367848536,25.6444051550164,5.05196540038555,-1.18158883624585
23215.932482864,22656808.9371256,-151190018.550122,1943.96580258483,25.6378347079769,5.09601156984388,-1.18159075223182
31059.152916264,22857866.1638934,-151149876.686705,-7323.50962071761,25.6312044216668,5.14005450264807,-1.18158996853133
38902.3733496641,23058871.153141,-151109389.397677,-16590.9683067785,25.6245142787804,5.18409416015479,-1.18158648411026
78118.4755166641,24063096.0986994,-150901772.4832,-62927.2689003727,25.5901651010017,5.40424196210201,-1.18152851457475
117334.577683664,25065944.616957,-150685523.933824,-109259.96959909,25.5543168403769,5.62430204969483,-1.18140286842
156550.679850664,26067357.873047,-150460647.286044,-155586.413651026,25.5169671918485,5.84426952045546,-1.1812094095486
195766.782017664,27067276.942703,-150227146.268485,-201903.939012483,25.478113771024,6.0641394325261,-1.1809479980481
341604.156803155,30771691.518419,-149283195.275697,-374027.268075152,25.3203884636365,6.88085520141214,-1.17937717465168
487441.531588647,34451576.825365,-148220255.757574,-545852.374049666,25.1416952005297,7.69589011581353,-1.17685669516984
633278.906374138,38103862.8893495,-147038593.200952,-717240.084985377,24.9418829449022,8.50897132937024,-1.17337796704761
779116.281159629,41725458.3702539,-145738512.855328,-888050.005583699,24.7207850969551,9.31981634767196,-1.16893163642397
976157.327151182,46564323.784425,-143794512.177529,-1117662.09531533,24.3879262998201,10.4112753542191,-1.16136927815455
1173198.37314274,51333702.4240344,-141635966.131073,-1345606.08680185,24.0153881406508,11.4973435634005,-1.1519949592633
1370239.41913429,56025718.3652092,-139264021.579043,-1571521.80910942,23.6026329745791,12.577195474218,-1.14077907220376
1567280.46512584,60632392.245109,-136679988.007788,-1795043.36947483,23.1490711945495,13.6499525571708,-1.12768932769515
1792863.25227303,65791145.9584752,-133463172.961109,-2047523.53903534,22.578883598058,14.8681761131325,-1.11035775007331
2018446.03942022,70815054.0139126,-129972875.962161,-2295806.6675932,21.9533483356684,16.0743198908601,-1.09046807585188
2244028.82656741,75691499.4868124,-126212023.493886,-2539308.45630201,21.2713667791708,17.2666892164639,-1.06795975204711
2469611.6137146,80407621.0560021,-122183925.103407,-2777431.09512363,20.5317589595794,18.4434391283905,-1.04276757567457
2707656.00260582,85195914.2212131,-117647631.607266,-3022198.26874037,19.6874203031273,19.6660274336271,-1.01319646511165
2945700.39149704,89775264.6365164,-112822896.168545,-3259552.91421594,18.775995363746,20.8663388690167,-0.980473412144324
3183744.78038826,94129508.8033149,-107715390.18212,-3488733.57195299,17.795904913415,22.0414480752348,-0.944508086592086
3421789.16927948,98242109.9946288,-102331485.588778,-3708957.37241221,16.7455077295311,23.1881322881469,-0.905205385539183
3665871.64091581,102190384.994794,-96531498.1560912,-3924622.98656384,15.5937033034996,24.3306616430055,-0.861336570531124
3909954.11255214,105848105.077054,-90457159.5327276,-4129129.0696709,14.3644357273457,25.4352839236121,-0.813746402078307
4154036.58418848,109196153.606619,-84118336.3926587,-4321553.81362557,13.0559738176098,26.4972343576941,-0.762325390157882
4398119.05582481,112214995.277064,-77526070.1918432,-4500948.78017505,11.6666378584118,27.5112485765771,-0.706962991113277
4637385.51279884,114835516.126502,-70829772.5297807,-4663217.03187475,10.2247001867243,28.4531281038772,-0.648761858014739
4876651.96977287,117101415.067719,-63914875.7043756,-4811084.0016277,8.70228218852661,29.3372766659967,-0.586571144234609
5115918.4267469,118993336.438099,-56796034.7926187,-4943585.00975738,7.09841043354218,30.1569850882693,-0.5203022059106
5355184.88372093,120491703.818348,-49489528.5479877,-5059734.58732911,5.41241651376475,30.9049034047825,-0.449875743949294
5570327.01704524,121486685.806801,-42774323.8400406,-5149383.45341267,3.82606255875012,31.5095036345294,-0.382945396583029
5785469.15036954,122133214.039596,-35936540.3475547,-5224261.88950868,2.17333204208541,32.0432027825063,-0.312568149421065
6000611.28369385,122417110.013957,-28992197.4759965,-5283627.73790655,0.454943770547812,32.49914325635,-0.238730092660647
6215753.41701815,122324370.681032,-21958799.9701573,-5326736.71245439,-1.32787009975822,32.8699844328413,-0.161437044394216
6403162.45359581,121925931.56501,-15774318.1906222,-5350460.86175857,-2.93195597579054,33.1175782474156,-0.091314333920296
6590571.49017347,121222540.150599,-9550463.8447607,-5360802.28199452,-4.5818042203738,33.289183800169,-0.0186330718646207
6777980.52675113,120205854.299814,-3302028.05803377,-5357288.25870786,-6.27515414657335,33.3790840189656,0.0565439856009972
