Time,Altitude,Pressure_at_Altitude_1,Pressure_at_Altitude_2,Pressure_at_Altitude_3,Pressure_at_Altitude_4,Pressure_at_Altitude_5,Temperature_at_Altitude_1,Temperature_at_Altitude_2,Temperature_at_Altitude_3,Temperature_at_Altitude_4,Temperature_at_Altitude_5,Terminal_Velocity_1,Terminal_Velocity_2,Terminal_Velocity_3,Terminal_Velocity_4,Terminal_Velocity_5,Buoyancy force_1,Buoyancy force_2,Buoyancy force_3,Buoyancy force_4,Buoyancy force_5,Gravity Force_1,Gravity Force_2,Gravity Force_3,Gravity Force_4,Gravity Force_5
0,100000.000000001,0,2.69524499999714,2.69524499999714,2.69524499999714,2.69524499999714,0,161.149999999999,161.149999999999,161.149999999999,161.149999999999,0,11.4244281114441,11.4244281114441,11.4244281114441,11.4244281114441,0,0,0,0,0,0,12710.1778,12710.1778,12710.1778,12710.1778
1.66666666666667,99471.4098098161,0,4.55375621540719,4.55375621540719,4.55375621540719,4.55375621540719,0,161.572872152147,161.572872152147,161.572872152147,161.572872152147,0,8.80071126574356,8.80071126574356,8.80071126574356,8.80071126574356,0,0.16540819702638,0.16540819702638,0.16540819702638,0.16540819702638,0,12710.1778,12710.1778,12710.1778,12710.1778
5,98398.570649607,0,8.32583456382154,8.32583456382154,8.32583456382154,8.32583456382154,0,162.431143480314,162.431143480314,162.431143480314,162.431143480314,0,6.52588176554904,6.52588176554904,6.52588176554904,6.52588176554904,0,0.300825170405767,0.300825170405767,0.300825170405767,0.300825170405767,0,12710.1778,12710.1778,12710.1778,12710.1778
8.33333333333333,97304.8538708701,0,12.1713181492328,12.1713181492328,12.1713181492328,12.1713181492328,0,163.306116903304,163.306116903304,163.306116903304,163.306116903304,0,5.41191363753021,5.41191363753021,5.41191363753021,5.41191363753021,0,0.437412166222852,0.437412166222852,0.437412166222852,0.437412166222852,0,12710.1778,12710.1778,12710.1778,12710.1778
21.6666666666667,92707.7030374966,0,28.3347970434802,28.0052677555943,28.3347970434802,28.3347970434802,0,166.983837570003,166.908858867691,166.983837570003,166.983837570003,0,3.58670455653579,3.60693460213628,3.58670455653579,3.58670455653579,0,0.995867052957414,0.984727433905522,0.995867052957414,0.995867052957414,0,12710.1778,12710.1778,12710.1778,12710.1778
48.3333333333333,82429.4553674688,0,374.329375160688,336.429264396651,374.329375160688,374.329375160688,0,190.347524971087,187.959858475839,190.347524971087,190.347524971087,0,1.05357413737428,1.10434332491495,1.05357413737428,1.05357413737428,0,11.5415030602895,10.5047168959944,11.5415030602895,11.5415030602895,0,12710.1778,12710.1778,12710.1778,12710.1778
83.3333333333333,66742.2228662104,0,7749.53785718699,4004.43095714721,7749.53785718699,7749.53785718699,0,238.620220547853,230.710799845327,238.620220547853,238.620220547853,0,0.259259188961188,0.354635327397001,0.259259188961188,0.259259188961188,0,190.600597322905,101.865842447675,190.600597322905,190.600597322905,0,12710.1778,12710.1778,12710.1778,12710.1778
133.333333333333,39681.213032261,0,370346.711449371,133443.51650592,260226.871039494,370346.711449371,0,418.509023561268,357.771554141548,395.925890082577,418.509023561268,0,0.0496668487272547,0.0765019673171254,0.0576300929123159,0.0496668487272547,0,5193.49074717616,2189.00808888698,3857.39340839272,5193.49074717616,0,12710.1778,12710.1778,12710.1778,12710.1778
239.089801231011,-19258.4953826981,0,29103170.9603292,10710512.4634025,10009655.0225465,19264490.7572781,0,1026.49721773147,755.463261314807,745.135435943015,881.514564908506,0,0.00877459684930049,0.0124085200825028,0.0127475432016934,0.00999434687225915,0,166394.217555242,83205.6078605441,78838.7243535287,128257.785410957,0,12710.1778,12710.1778,12710.1778,12710.1778
321.936415152402,-55797.1305025533,0,71373003.1175594,34132342.0882073,22927547.4963159,38109081.7231915,0,1649.38486872312,1100.60701259951,935.493317394233,1159.2081918194,0,0.00710251985556506,0.00838979852689349,0.00943756558368211,0.00814863598519482,0,253961.369603112,182007.594547412,143837.659678097,192940.206298002,0,12710.1778,12710.1778,12710.1778,12710.1778
333.333333333333,-59836.7774760563,0,77940580.6597855,37506554.2865734,24190513.2879294,40192506.4218056,0,1746.16459883338,1150.32935600437,954.104363501412,1189.90950881803,0,0.00699325251069756,0.00818231051080998,0.00927884324814614,0.00803901541484267,0,261959.500517895,191355.372706267,148800.673681656,198237.974061834,0,12710.1778,12710.1778,12710.1778,12710.1778
