Time,Altitude,Pressure_at_Altitude,Temperature_at_Altitude,Terminal_Velocity,Buoyancy force,Gravity Force
0,46.5086782376502,9308045.91662383,734.796534045394,0.0216600802368231,0,34603.9988
1.00133511348465,53.2510013351135,9304568.60225467,734.745292389853,0.0216633718778726,16537.9645990984,34603.9988
2.00267022696929,48.4312416555407,9307054.3655958,734.781922563418,0.0216610186436654,33083.1162688782,34603.9988
3.00400534045394,53.4646194926569,9304458.42991823,734.743668891856,0.0216634761995232,49613.4159616253,34603.9988
4.00534045393858,48.4445927903872,9307047.47982477,734.781821094793,0.0216610251609365,66166.1927221697,34603.9988
5.00667556742323,51.7289719626168,9305353.58015187,734.756859813084,0.0216626286430757,82695.4971922033,34603.9988
6.00801068090788,47.9906542056075,9307281.59603972,734.785271028037,0.0216608035780282,99251.3196689188,34603.9988
7.00934579439252,49.3257676902537,9306593.01893692,734.775124165554,0.0216614553178177,115786.238520993,34603.9988
8.01068090787717,49.2323097463284,9306641.21933411,734.775834445928,0.0216614096935316,132327.68716619,34603.9988
9.01201602136182,52.8104138851802,9304795.8326986,734.748640854473,0.0216631567206838,148844.637980087,34603.9988
10.0133511348465,49.0987983978638,9306710.07704439,734.776849132176,0.0216613445166331,165410.604362386,34603.9988
11.0146862483311,50.9145527369826,9305773.61218458,734.763049399199,0.0216622309882898,181936.77328597,34603.9988
12.0160213618158,47.0026702269693,9307791.14309579,734.792779706275,0.0216603213400425,198511.478225964,34603.9988
13.0173564753004,53.3177570093458,9304534.17339953,734.744785046729,0.021663404478177,214992.892720126,34603.9988
14.018691588785,45.7343124165554,9308445.29134346,734.802419225634,0.0216597023123957,231609.962712794,34603.9988
15.0200267022697,45.4272363150868,9308603.6640771,734.804753004005,0.0216595524529662,248156.96536938,34603.9988
16.0213618157543,48.4846461949266,9307026.82251168,734.781516688918,0.021661044712796,264664.293101375,34603.9988
17.022696929239,50.1802403204272,9306152.32959112,734.768630173565,0.0216618724716057,281184.320559653,34603.9988
18.0240320427236,49.8998664886515,9306296.93078271,734.770761014686,0.0216617355895497,297728.337407861,34603.9988
19.0253671562083,45.2803738317757,9308679.40755841,734.805869158879,0.0216594807825012,314334.23636623,34603.9988
20.0267022696929,50.6341789052069,9305918.21337617,734.76518024032,0.0216620940973578,330798.314085883,34603.9988
21.0280373831776,47.4966622162884,9307536.36956776,734.789025367156,0.0216605624537773,347387.352907843,34603.9988
22.0293724966622,53.3711615487316,9304506.63031542,734.74437917223,0.0216634305585589,363833.250109932,34603.9988
23.0307076101469,49.56608811749,9306469.07505841,734.773297730307,0.0216615726391394,380436.376998402,34603.9988
24.0320427236315,45.3070761014686,9308665.63601636,734.805666221629,0.0216594938134257,386610.792850868,34603.9988
25.0333778371162,46.8024032042724,9307894.42966122,734.794301735647,0.0216602235942267,386584.741745726,34603.9988
26.0347129506008,50.0066755674232,9306241.84461449,734.769949265688,0.0216617877346953,386528.915235416,34603.9988
27.0360480640854,49.2857142857143,9306613.67625,734.775428571429,0.0216614357645062,386541.476522872,34603.9988
28.0373831775701,45.0934579439252,9308775.8083528,734.807289719626,0.0216593895668896,386614.514371536,34603.9988
29.0387182910547,52.6502002670227,9304878.46195094,734.749858477971,0.0216630784837817,386482.85557854,34603.9988
30.0400534045394,51.9826435246996,9305222.75050233,734.754931909212,0.0216627525086044,386494.487042749,34603.9988
31.041388518024,46.562082777036,9308018.37353972,734.796128170894,0.0216601063015291,386588.928584828,34603.9988
32.0427236315087,47.2296395193591,9307674.08498832,734.791054739653,0.0216604321207229,386577.29842482,34603.9988
33.0440587449933,45.4005340453939,9308617.43561916,734.804955941255,0.0216595394219034,386609.164680404,34603.9988
34.045393858478,49.7129506008011,9306393.3315771,734.772181575434,0.0216616443367283,386534.032819587,34603.9988
35.0467289719626,49.6061415220294,9306448.41774533,734.772993324432,0.0216615921929351,386535.893751575,34603.9988
36.0480640854473,54.3457943925234,9304003.96903037,734.736971962617,0.0216639065471366,386453.310937274,34603.9988
37.0493991989319,53.1308411214953,9304630.57419392,734.746205607477,0.0216633131978091,386474.480824846,34603.9988
38.0507343124166,54.6261682242991,9303859.36783879,734.734841121495,0.0216640434829464,386448.425503039,34603.9988
39.0520694259012,54.1855807743658,9304086.59828271,734.738189586115,0.0216638282996249,386456.102601257,34603.9988
40.0534045393858,45.4138851802403,9308610.54984813,734.80485447263,0.021659545937431,386608.932084367,34603.9988
41.0547396528705,48.0440587449933,9307254.05295561,734.784865153538,0.0216608296461447,386563.109412119,34603.9988
42.0560747663551,51.4085447263017,9305518.83865654,734.75929506008,0.0216624721853212,386504.489973499,34603.9988
43.0574098798398,50.5006675567423,9305987.07108645,734.766194926569,0.0216620289123909,386520.308319184,34603.9988
44.0587449933244,50.9679572763685,9305746.06910047,734.7626435247,0.0216622570631373,386512.166560715,34603.9988
45.0600801068091,54.8931909212283,9303721.65241822,734.732811748999,0.0216641739011561,386443.772682185,34603.9988
46.0614152202937,51.7022696929239,9305367.35169393,734.757062750334,0.0216626156047604,386499.372209818,34603.9988
47.0627503337784,48.9252336448598,9306799.59206776,734.778168224299,0.0216612597878137,386547.757096347,34603.9988
48.064085447263,52.1695594125501,9305126.34970794,734.753511348465,0.021662843779717,386491.230248962,34603.9988
49.0654205607477,51.849132176235,9305291.60821262,734.755946595461,0.021662687315875,386496.813316316,34603.9988
50.0667556742323,51.8224299065421,9305305.37975467,734.75614953271,0.0216626742774213,386497.278570258,34603.9988
51.068090787717,46.0280373831776,9308293.80438084,734.800186915888,0.0216598456599992,386598.232597202,34603.9988
